[2025-10-02 15:27:38] Path: /css/site.css, User: Anonymous
[2025-10-02 15:27:39] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:28:06] Path: /Departments, User: Anonymous
[2025-10-02 15:28:11] Path: /css/site.css, User: Anonymous
[2025-10-02 15:28:21] Path: /Students, User: Anonymous
[2025-10-02 15:28:21] Path: /Account/Login, User: Anonymous
[2025-10-02 15:28:22] Path: /css/site.css, User: Anonymous
[2025-10-02 15:28:22] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:37:07] Path: /, User: Anonymous
[2025-10-02 15:37:08] Path: /css/site.css, User: Anonymous
[2025-10-02 15:37:09] Path: /Students, User: Anonymous
[2025-10-02 15:37:10] Path: /Account/Login, User: Anonymous
[2025-10-02 15:37:10] Path: /css/site.css, User: Anonymous
[2025-10-02 15:37:15] Path: /Account/Login, User: Anonymous
[2025-10-02 15:42:05] Path: /Account/Login, User: Anonymous
[2025-10-02 15:42:06] Path: /Students, User: Anonymous
[2025-10-02 15:42:09] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:34] Path: /, User: Anonymous
[2025-10-02 15:43:35] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:37] Path: /Students, User: Anonymous
[2025-10-02 15:43:38] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:41] Path: /Departments, User: Anonymous
[2025-10-02 15:43:41] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:42] Path: /Courses, User: Anonymous
[2025-10-02 15:43:43] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:43] Path: /Students, User: Anonymous
[2025-10-02 15:43:43] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:45] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:45] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:48] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:48] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:50] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:50] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:54] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:54] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:55] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:55] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:55] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:55] Path: /css/site.css, User: Anonymous
[2025-10-02 15:43:55] Path: /Students/Create, User: Anonymous
[2025-10-02 15:43:55] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:00] Path: /Students/Create, User: Anonymous
[2025-10-02 15:44:00] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:01] Path: /Students, User: Anonymous
[2025-10-02 15:44:01] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:02] Path: /Students/Create, User: Anonymous
[2025-10-02 15:44:02] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:04] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:04] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:44:14] Path: /Students/Create, User: Anonymous
[2025-10-02 15:44:14] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:14] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:44:18] Path: /Students/Create, User: Anonymous
[2025-10-02 15:44:18] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:18] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:44:54] Path: /Students/Create, User: Anonymous
[2025-10-02 15:44:54] Path: /css/site.css, User: Anonymous
[2025-10-02 15:44:54] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:44:54] Path: /favicon.ico, User: Anonymous
[2025-10-02 15:45:01] Path: /Students/Create, User: Anonymous
[2025-10-02 15:45:01] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:01] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:11] Path: /CourseStudents, User: Anonymous
[2025-10-02 15:45:11] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:11] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:12] Path: /CourseStudents/Create, User: Anonymous
[2025-10-02 15:45:12] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:12] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:15] Path: /, User: Anonymous
[2025-10-02 15:45:15] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:15] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:17] Path: /Courses, User: Anonymous
[2025-10-02 15:45:18] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:18] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:18] Path: /Courses/Create, User: Anonymous
[2025-10-02 15:45:19] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:19] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:25] Path: /Courses/Create, User: Anonymous
[2025-10-02 15:45:25] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:25] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:29] Path: /Courses/Create, User: Anonymous
[2025-10-02 15:45:29] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:29] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:45:33] Path: /Courses, User: Anonymous
[2025-10-02 15:45:33] Path: /css/site.css, User: Anonymous
[2025-10-02 15:45:33] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 15:46:02] Path: /, User: Anonymous
[2025-10-02 15:46:02] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:02] Path: /favicon.ico, User: Anonymous
[2025-10-02 15:46:03] Path: /Departments, User: Anonymous
[2025-10-02 15:46:04] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:06] Path: /Departments/Create, User: Anonymous
[2025-10-02 15:46:06] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:09] Path: /Departments/Create, User: Anonymous
[2025-10-02 15:46:09] Path: /Departments, User: Anonymous
[2025-10-02 15:46:09] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:11] Path: /Courses, User: Anonymous
[2025-10-02 15:46:11] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:12] Path: /Courses/Create, User: Anonymous
[2025-10-02 15:46:12] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:17] Path: /Courses/Create, User: Anonymous
[2025-10-02 15:46:17] Path: /css/site.css, User: Anonymous
[2025-10-02 15:46:19] Path: /Instructors, User: Anonymous
[2025-10-02 15:46:19] Path: /css/site.css, User: Anonymous
